id_municipio,municipio_nome,arearegional,id_gaema,id_redeprotetiva
3542701,Restinga,Franca,,2
3542800,Ribeira,Sorocaba,2,
3542909,Ribeirão Bonito,Ribeirão Preto,,5
3543006,Ribeirão Branco,Sorocaba,,6
3543105,Ribeirão Corrente,Franca,,2
3543204,Ribeirão do Sul,Bauru,7,
3543238,Ribeirão dos Índios,Presidente Prudente,6,
3543253,Ribeirão Grande,Sorocaba,,6
3543303,Ribeirão Pires,Grande São Paulo I,,12
3543402,Ribeirão Preto,Ribeirão Preto,5,
3543600,Rifaina,Franca,,2
3543709,Rincão,Ribeirão Preto,,16
3543808,Rinópolis,Presidente Prudente,,11
3543907,Rio Claro,Piracicaba,11,
3544004,Rio das Pedras,Piracicaba,11,
3544103,Rio Grande da Serra,Grande São Paulo I,,12
3544202,Riolândia,São José do Rio Preto,,7
3543501,Riversul,Sorocaba,,6
3544251,Rosana,Presidente Prudente,6,
3544301,Roseira,Taubaté,1,
3544400,Rubiácea,Araçatuba,,10
3544509,Rubinéia,São José do Rio Preto,,9
3544608,Sabino,Araçatuba,,8
3544707,Sagres,Presidente Prudente,,11
3544806,Sales,São José do Rio Preto,,8
3544905,Sales Oliveira,Franca,,2
3545001,Salesópolis,Grande São Paulo III,8,
3545100,Salmourão,Presidente Prudente,,11
3545159,Saltinho,Piracicaba,11,
3545209,Salto,Sorocaba,12,
3545308,Salto de Pirapora,Sorocaba,12,
3545407,Salto Grande,Bauru,7,
3545506,Sandovalina,Presidente Prudente,6,
3545605,Santa Adélia,São José do Rio Preto,,7
3545704,Santa Albertina,São José do Rio Preto,,9
3545803,Santa Bárbara D'Oeste,Piracicaba,11,
3546009,Santa Branca,Taubaté,1,
3546108,Santa Clara d'Oeste,São José do Rio Preto,,9
3546207,Santa Cruz da Conceição,Piracicaba,,15
3546256,Santa Cruz da Esperança,Ribeirão Preto,5,
3546306,Santa Cruz das Palmeiras,Ribeirão Preto,,15
3546405,Santa Cruz do Rio Pardo,Bauru,7,
3546504,Santa Ernestina,Ribeirão Preto,,8
3546603,Santa Fé do Sul,São José do Rio Preto,,9
3546702,Santa Gertrudes,Piracicaba,11,
3546801,Santa Isabel,Grande São Paulo III,1,
3546900,Santa Lúcia,Ribeirão Preto,,16
3547007,Santa Maria da Serra,Piracicaba,11,
3547106,Santa Mercedes,Presidente Prudente,,11
3547403,Santa Rita d'Oeste,São José do Rio Preto,,9
3547502,Santa Rita do Passa Quatro,Ribeirão Preto,,16
3547601,Santa Rosa de Viterbo,Ribeirão Preto,5,
3547650,Santa Salete,São José do Rio Preto,,9
3547205,Santana da Ponte Pensa,São José do Rio Preto,,9
3547304,Santana de Parnaíba,Grande São Paulo II,,13
3547700,Santo Anastácio,Presidente Prudente,6,
3547809,Santo André,Grande São Paulo I,,12
3547908,Santo Antônio da Alegria,Franca,5,
3548005,Santo Antônio de Posse,Campinas,9,
3548054,Santo Antônio do Aracanguá,Araçatuba,,10
3548104,Santo Antônio do Jardim,Campinas,,14
3548203,Santo Antônio do Pinhal,Taubaté,,1
3548302,Santo Expedito,Presidente Prudente,6,
3548401,Santópolis do Aguapeí,Araçatuba,,10
3548500,Santos,Santos,3,
3548609,São Bento do Sapucaí,Taubaté,,1
3548708,São Bernardo do Campo,Grande São Paulo I,,12
3548807,São Caetano do Sul,Grande São Paulo I,,12
3548906,São Carlos,Ribeirão Preto,,16
3549003,São Francisco,São José do Rio Preto,,9
3549102,São João da Boa Vista,Campinas,,14
3549201,São João das Duas Pontes,São José do Rio Preto,,7
3549250,São João de Iracema,São José do Rio Preto,,9
3549300,São João do Pau d'Alho,Presidente Prudente,,11
3549409,São Joaquim da Barra,Franca,,2
3549508,São José da Bela Vista,Franca,,2
3549607,São José do Barreiro,Taubaté,1,
3549706,São José do Rio Pardo,Ribeirão Preto,5,
3549805,São José do Rio Preto,São José do Rio Preto,,7
3549904,São José dos Campos,Taubaté,1,
3549953,São Lourenço da Serra,Grande São Paulo II,,13
3550001,São Luís do Paraitinga,Taubaté,1,
3550100,São Manuel,Bauru,,5
3550209,São Miguel Arcanjo,Sorocaba,,6
3550308,São Paulo,Capital (Entrância Especial),,12
3550407,São Pedro,Piracicaba,11,
3550506,São Pedro do Turvo,Bauru,7,
3550605,São Roque,Sorocaba,12,
3550704,São Sebastião,Taubaté,4,
3550803,São Sebastião da Grama,Ribeirão Preto,5,
3550902,São Simão,Ribeirão Preto,5,
3551009,São Vicente,Santos,3,
3551108,Sarapuí,Sorocaba,,6
3551207,Sarutaiá,Bauru,,6
3551306,Sebastianópolis do Sul,São José do Rio Preto,,9
3551405,Serra Azul,Ribeirão Preto,5,
3551603,Serra Negra,Campinas,,14
3551504,Serrana,Ribeirão Preto,5,
3551702,Sertãozinho,Ribeirão Preto,5,
3551801,Sete Barras,Vale do Ribeira,2,
3551900,Severínia,São José do Rio Preto,,7
3552007,Silveiras,Taubaté,1,
3552106,Socorro,Campinas,,14
3552205,Sorocaba,Sorocaba,12,
3552304,Sud Mennucci,Araçatuba,,10
3552403,Sumaré,Campinas,9,
3552551,Suzanápolis,Araçatuba,,10
3552502,Suzano,Grande São Paulo III,8,
3552601,Tabapuã,São José do Rio Preto,,7
3552700,Tabatinga,Bauru,,5
3552809,Taboão da Serra,Grande São Paulo II,,13
3552908,Taciba,Presidente Prudente,6,
3553005,Taguaí,Bauru,,6
3553104,Taiaçu,Ribeirão Preto,,16
3553203,Taiúva,Ribeirão Preto,,16
3553302,Tambaú,Ribeirão Preto,5,
3553401,Tanabi,São José do Rio Preto,,7
3553500,Tapiraí,Sorocaba,12,
3553609,Tapiratiba,Ribeirão Preto,5,
3553658,Taquaral,Ribeirão Preto,,16
3553708,Taquaritinga,Ribeirão Preto,,8
3553807,Taquarituba,Bauru,,6
3553856,Taquarivaí,Sorocaba,,6
3553906,Tarabai,Presidente Prudente,6,
3553955,Tarumã,Presidente Prudente,7,
3554003,Tatuí,Sorocaba,12,
3554102,Taubaté,Taubaté,1,
3554201,Tejupá,Bauru,,6
3554300,Teodoro Sampaio,Presidente Prudente,6,
3554409,Terra Roxa,Ribeirão Preto,,4
3554508,Tietê,Sorocaba,12,
3554607,Timburi,Bauru,,6
3554656,Torre de Pedra,Piracicaba,12,
3554706,Torrinha,Piracicaba,,5
3554755,Trabiju,Ribeirão Preto,,5
3554805,Tremembé,Taubaté,1,
3554904,Três Fronteiras,São José do Rio Preto,,9
3554953,Tuiuti,Campinas,10,
3555000,Tupã,Presidente Prudente,,11
3555109,Tupi Paulista,Presidente Prudente,,11
3555208,Turiúba,Araçatuba,,10
3555307,Turmalina,São José do Rio Preto,,7
3555356,Ubarana,São José do Rio Preto,,10
3555406,Ubatuba,Taubaté,4,
3555505,Ubirajara,Bauru,7,
3555604,Uchoa,São José do Rio Preto,,7
3555703,União Paulista,São José do Rio Preto,,9
3555802,Urânia,São José do Rio Preto,,9
3555901,Uru,Bauru,,8
3556008,Urupês,São José do Rio Preto,,8
3556107,Valentim Gentil,São José do Rio Preto,,7
