municipio,pj,url,ar,tem_pj
Uru,Pirajuí,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_bauru/bau_pirajui,Bauru,Não
Vera Cruz,Marília,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_bauru/bau_marilia,Bauru,Não
Águas de Santa Bárbara,Cerqueira César,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_bauru/bau_cerqueira_cesar,Bauru,Não
Álvaro de Carvalho,Garça,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_bauru/bau_garca,Bauru,Não
Óleo,Piraju,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_bauru/bau_piraju,Bauru,Não
Barrinha,Sertãozinho,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_ribeirao_preto/rib_sertaozinho,Ribeirão Preto,Não
Boa Esperança do Sul,Ribeirão Bonito,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_ribeirao_preto/rib_ribeirao_bonito,Ribeirão Preto,Não
Cássia dos Coqueiros,Cajuru,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_ribeirao_preto/rib_cajuru,Ribeirão Preto,Não
Cândido Rodrigues,Taquaritinga,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_ribeirao_preto/rib_taquaritinga,Ribeirão Preto,Não
Divinolândia,São Sebastião da Grama,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_ribeirao_preto/rib_sao_sebastiao_grama,Ribeirão Preto,Não
Dobrada,Matão,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_ribeirao_preto/rib_matao,Ribeirão Preto,Não
Dourado,Ribeirão Bonito,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_ribeirao_preto/rib_ribeirao_bonito,Ribeirão Preto,Não
Dumont,Sertãozinho,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_ribeirao_preto/rib_sertaozinho,Ribeirão Preto,Não
Fernando Prestes,Taquaritinga,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_ribeirao_preto/rib_taquaritinga,Ribeirão Preto,Não
Gavião Peixoto,Araraquara,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_ribeirao_preto/rib_araraquara,Ribeirão Preto,Não
Guatapará,Ribeirão Preto,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_ribeirao_preto/rib_ribeirao_preto,Ribeirão Preto,Não
Itobi,Casa Branca,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_ribeirao_preto/rib_casa_branca,Ribeirão Preto,Não
Luiz Antônio,São Simão,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_ribeirao_preto/rib_sao_simao,Ribeirão Preto,Não
Motuca,Américo Brasiliense,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_ribeirao_preto/rib_americo_brasiliense,Ribeirão Preto,Não
Nova Europa,Araraquara,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_ribeirao_preto/rib_araraquara,Ribeirão Preto,Não
Paraíso,Monte Azul Paulista,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_ribeirao_preto/sjrp_monte_azul_paulista,Ribeirão Preto,Não
Pradópolis,Guariba,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_ribeirao_preto/rib_guariba,Ribeirão Preto,Não
Rincão,Américo Brasiliense,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_ribeirao_preto/rib_americo_brasiliense,Ribeirão Preto,Não
Santa Cruz da Esperança,Cajuru,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_ribeirao_preto/rib_cajuru,Ribeirão Preto,Não
Santa Ernestina,Taquaritinga,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_ribeirao_preto/rib_taquaritinga,Ribeirão Preto,Não
Santa Lúcia,Américo Brasiliense,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_ribeirao_preto/rib_americo_brasiliense,Ribeirão Preto,Não
Serra Azul,Cravinhos,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_ribeirao_preto/rib_cravinhos,Ribeirão Preto,Não
Taiaçu,Jaboticabal,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_ribeirao_preto/rib_jaboticabal,Ribeirão Preto,Não
Taiúva,Jaboticabal,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_ribeirao_preto/rib_jaboticabal,Ribeirão Preto,Não
Tapiratiba,Caconde,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_ribeirao_preto/rib_caconde,Ribeirão Preto,Não
Taquaral,Pitangueiras,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_ribeirao_preto/rib_pitangueiras,Ribeirão Preto,Não
